epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54303,1.55263,3.39645,1.59871,0.04131,0.63686,0.23358,0.14364,1.10401,2.97095,1.10007,0.00021435,0.00021435,0.00021435
2,10.3243,1.43798,2.00117,1.45225,0.93005,0.30723,0.57609,0.38695,1.18618,2.19421,1.20725,0.000421062,0.000421062,0.000421062
3,14.0587,1.42521,1.6192,1.46962,0.88762,0.56166,0.57364,0.36042,1.27799,1.69453,1.23088,0.000605139,0.000605139,0.000605139
4,17.6769,1.34363,1.44283,1.40402,0.87556,0.59066,0.60369,0.38556,1.41144,1.62245,1.29914,0.00076658,0.00076658,0.00076658
5,21.3499,1.27333,1.30609,1.357,0.80784,0.87864,0.88711,0.58217,1.16347,1.1245,1.17623,0.000905386,0.000905386,0.000905386
6,25.0266,1.26884,1.25469,1.33872,0.83454,0.80622,0.8945,0.59046,1.14547,1.46902,1.18909,0.00102156,0.00102156,0.00102156
7,28.6651,1.26516,1.22832,1.3407,0.84603,0.83452,0.8874,0.58329,1.14425,1.44761,1.17465,0.00100459,0.00100459,0.00100459
8,32.2347,1.20439,1.15633,1.29462,0.78295,0.92026,0.89187,0.60332,1.11586,1.01532,1.14265,0.000933851,0.000933851,0.000933851
9,35.7936,1.20706,1.16144,1.28481,0.81534,0.88686,0.88083,0.58643,1.23683,1.21858,1.16217,0.000863116,0.000863116,0.000863116
10,39.257,1.22116,1.13444,1.2954,0.80313,0.87453,0.88362,0.57689,1.10509,1.11689,1.1191,0.00079238,0.00079238,0.00079238
11,54.4761,1.27244,1.21712,1.29949,0.82785,0.82804,0.88961,0.58027,1.17202,1.34654,1.16895,0.000721645,0.000721645,0.000721645
12,58.149,1.18206,1.18814,1.24948,0.82997,0.91158,0.91251,0.62569,1.06469,0.94639,1.14206,0.000650909,0.000650909,0.000650909
13,61.6409,1.16779,1.13465,1.25025,0.84819,0.89758,0.8981,0.60587,1.0477,0.92653,1.10587,0.000580174,0.000580174,0.000580174
14,65.0688,1.14952,1.08402,1.22815,0.78368,0.92888,0.89964,0.59257,1.07868,0.95035,1.11437,0.000509438,0.000509438,0.000509438
15,68.5033,1.1544,1.07182,1.23037,0.81945,0.89873,0.90404,0.62608,1.03818,0.88295,1.08278,0.000438703,0.000438703,0.000438703
16,72.0438,1.12976,1.03604,1.21882,0.84629,0.88733,0.91075,0.63092,1.04552,0.89142,1.09296,0.000367967,0.000367967,0.000367967
17,75.4921,1.1305,1.03051,1.21527,0.85009,0.90659,0.91846,0.6466,1.0125,0.85905,1.06608,0.000297232,0.000297232,0.000297232
18,78.9856,1.10883,1.01118,1.18579,0.85136,0.89169,0.92407,0.65266,1.00704,0.83253,1.06775,0.000226497,0.000226497,0.000226497
19,82.4897,1.10415,0.97673,1.18074,0.83769,0.93242,0.92829,0.6564,1.02363,0.80439,1.06825,0.000155761,0.000155761,0.000155761
20,85.9813,1.10902,0.99251,1.19943,0.84845,0.92413,0.92704,0.65475,1.00417,0.79778,1.06366,8.50255e-05,8.50255e-05,8.50255e-05
