epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2076,3.5576,4.10671,4.21909,0.00122,0.05703,0.00109,0.00025,2.44938,4.12837,4.15076,0.00021435,0.00021435,0.00021435
2,9.95655,3.42018,3.6992,4.10402,0.00117,0.05963,0.00105,0.00021,2.4013,4.04931,4.12372,0.000421062,0.000421062,0.000421062
3,13.8485,3.21159,3.00648,3.88834,0.0009,0.04833,0.00082,0.00018,2.25683,3.82572,4.01622,0.000605139,0.000605139,0.000605139
4,17.6198,2.90044,2.5764,3.59275,0.00382,0.08572,0.00236,0.0008,2.06314,3.40147,3.86727,0.00076658,0.00076658,0.00076658
5,21.4524,2.59941,2.28457,3.31335,0.01135,0.30362,0.01956,0.00767,2.08844,2.87195,3.70099,0.000905386,0.000905386,0.000905386
6,25.1525,2.51233,2.06908,3.04685,0.00755,0.20187,0.0311,0.00726,2.30984,3.38444,3.66825,0.00102156,0.00102156,0.00102156
7,28.9261,2.40643,1.98963,2.85107,0.30729,0.21283,0.25238,0.11932,1.99349,2.69045,3.39578,0.00100459,0.00100459,0.00100459
8,32.4952,2.29343,1.88619,2.6997,0.72325,0.25112,0.30969,0.14157,2.45024,3.24483,3.53765,0.000933851,0.000933851,0.000933851
9,36.3266,2.23097,1.81109,2.59876,0.84772,0.23119,0.21946,0.08647,1.99177,2.92531,3.3879,0.000863116,0.000863116,0.000863116
10,40.0139,2.13144,1.74777,2.48252,0.8087,0.34427,0.41393,0.21806,2.1272,2.58822,3.17897,0.00079238,0.00079238,0.00079238
11,55.6118,1.80607,1.83891,2.3104,0.38273,0.35839,0.33721,0.09595,2.12231,2.29284,3.02684,0.000721645,0.000721645,0.000721645
12,59.339,1.73489,1.66647,2.22037,0.79295,0.54742,0.58501,0.30966,1.53305,1.72347,2.2672,0.000650909,0.000650909,0.000650909
13,62.9148,1.64563,1.56486,2.13834,0.69248,0.48773,0.63162,0.37843,1.49342,1.63852,2.18696,0.000580174,0.000580174,0.000580174
14,66.4722,1.60359,1.51647,2.10628,0.65267,0.6854,0.6808,0.37779,1.40754,1.39769,2.02204,0.000509438,0.000509438,0.000509438
15,70.0244,1.56743,1.43428,2.06875,0.71769,0.57902,0.68655,0.38681,1.42219,1.51813,2.03928,0.000438703,0.000438703,0.000438703
16,73.5649,1.54264,1.39683,2.00754,0.75993,0.71296,0.7819,0.46134,1.37451,1.37427,1.95096,0.000367967,0.000367967,0.000367967
17,77.0136,1.53124,1.38266,1.98899,0.69956,0.75572,0.75928,0.426,1.38943,1.31469,1.9894,0.000297232,0.000297232,0.000297232
18,80.6884,1.50346,1.32703,1.95794,0.68164,0.75095,0.73519,0.43834,1.36729,1.37611,1.96031,0.000226497,0.000226497,0.000226497
19,84.1721,1.47228,1.30719,1.93031,0.65154,0.77516,0.75941,0.46664,1.32504,1.31081,1.90343,0.000155761,0.000155761,0.000155761
20,87.7115,1.45792,1.30452,1.91985,0.73697,0.76996,0.78445,0.48283,1.31299,1.25181,1.88399,8.50255e-05,8.50255e-05,8.50255e-05
